Ticker,Declared Date,Payable Date,Ex Date,Distrib Amount,Income,Long Gain,Short Gain,ROC
MFM,2017-3-1,2017-3-31,2017-3-14,0.032,0.032,,,
MFM,2017-2-1,2017-2-28,2017-2-14,0.031,0.031,,,
MFM,2017-1-3,2017-1-31,2017-1-17,0.031,0.031,,,
MFM,2016-12-1,2016-12-30,2016-12-20,0.031,0.031,,,
MFM,2016-11-1,2016-11-30,2016-11-15,0.031,0.031,,,
MFM,2016-10-3,2016-10-31,2016-10-18,0.031,0.031,,,
MFM,2016-9-1,2016-9-30,2016-9-20,0.031,0.031,,,
MFM,2016-8-1,2016-8-31,2016-8-16,0.0315,0.0315,,,
MFM,2016-7-1,2016-7-29,2016-7-19,0.0315,0.0315,,,
MFM,2016-6-1,2016-6-30,2016-6-14,0.0315,0.0315,,,
MFM,2016-5-2,2016-5-31,2016-5-17,0.0315,0.0315,,,
MFM,2016-4-1,2016-4-29,2016-4-19,0.032,0.032,,,
MFM,2016-3-2,2016-3-31,2016-3-15,0.0325,0.0325,,,
MFM,2016-2-1,2016-2-29,2016-2-16,0.032,0.032,,,
MFM,2016-1-4,2016-1-29,2016-1-19,0.032,0.032,,,
MFM,2015-12-1,2015-12-31,2015-12-15,0.032,0.032,,,
MFM,2015-11-2,2015-11-30,2015-11-17,0.0325,0.0325,,,
MFM,2015-10-1,2015-10-30,2015-10-13,0.0325,0.0325,,,
MFM,2015-9-1,2015-9-30,2015-9-15,0.0325,0.0325,,,
MFM,2015-8-3,2015-8-31,2015-8-18,0.033,0.033,,,
MFM,2015-7-1,2015-7-31,2015-7-14,0.033,0.033,,,
MFM,2015-6-1,2015-6-30,2015-6-16,0.033,0.033,,,
MFM,2015-5-1,2015-5-29,2015-5-12,0.033,0.033,,,
MFM,2015-4-1,2015-4-30,2015-4-14,0.033,0.033,,,
MFM,2015-3-2,2015-3-31,2015-3-17,0.033,0.033,,,
MFM,2015-2-2,2015-2-27,2015-2-17,0.032,0.032,,,
MFM,2015-1-2,2015-1-30,2015-1-13,0.032,0.032,,,
MFM,2014-12-1,2014-12-31,2014-12-16,0.033,0.033,,,
MFM,2014-11-3,2014-11-28,2014-11-18,0.033,0.033,,,
MFM,2014-10-1,2014-10-31,2014-10-14,0.033,0.033,,,
MFM,2014-9-2,2014-9-30,2014-9-16,0.033,0.033,,,
MFM,2014-8-1,2014-8-29,2014-8-12,0.033,0.033,,,
MFM,2014-7-1,2014-7-31,2014-7-15,0.033,0.033,,,
MFM,2014-6-2,2014-6-30,2014-6-17,0.033,0.033,,,
MFM,2014-5-1,2014-5-30,2014-5-13,0.033,0.033,,,
MFM,2014-4-1,2014-4-30,2014-4-15,0.033,0.033,,,
MFM,2014-3-3,2014-3-31,2014-3-18,0.034,0.034,,,
MFM,2014-2-3,2014-2-28,2014-2-18,0.035,0.035,,,
MFM,2014-1-2,2014-1-31,2014-1-14,0.035,0.035,,,
MFM,2013-12-2,2013-12-31,2013-12-17,0.036,0.036,,,
MFM,2013-11-1,2013-11-29,2013-11-12,0.0365,0.0365,,,
MFM,2013-10-1,2013-10-31,2013-10-15,0.037,0.037,,,
MFM,2013-9-3,2013-9-30,2013-9-17,0.037,0.037,,,
MFM,2013-8-1,2013-8-30,2013-8-13,0.037,0.037,,,
MFM,2013-7-1,2013-7-31,2013-7-16,0.037,0.037,,,
MFM,2013-6-3,2013-6-28,2013-6-18,0.037,0.037,,,
MFM,2013-5-1,2013-5-31,2013-5-14,0.037,0.037,,,
MFM,2013-4-1,2013-4-30,2013-4-16,0.037,0.037,,,
MFM,2013-3-1,2013-3-28,2013-3-12,0.037,0.037,,,
MFM,2013-2-1,2013-2-28,2013-2-12,0.037,0.037,,,
MFM,2013-1-2,2013-1-31,2013-1-15,0.037,0.037,,,
MFM,2012-12-3,2012-12-31,2012-12-18,0.037,0.037,,,
MFM,2012-11-1,2012-11-30,2012-11-13,0.037,0.037,,,
MFM,2012-10-1,2012-10-31,2012-10-16,0.039,0.039,,,
MFM,2012-9-4,2012-9-28,2012-9-18,0.04,0.04,,,
MFM,2012-8-1,2012-8-31,2012-8-14,0.04,0.04,,,
MFM,2012-7-2,2012-7-31,2012-7-17,0.04,0.04,,,
MFM,2012-6-1,2012-6-29,2012-6-12,0.04,0.04,,,
MFM,2012-5-1,2012-5-31,2012-5-15,0.04,0.04,,,
MFM,2012-4-2,2012-4-30,2012-4-17,0.042,0.042,,,
MFM,2012-3-1,2012-3-30,2012-3-13,0.042,0.042,,,
MFM,2012-2-1,2012-2-29,2012-2-14,0.042,0.042,,,
MFM,2012-1-3,2012-1-31,2012-1-17,0.042,0.042,,,
MFM,2011-12-1,2011-12-30,2011-12-12,0.042,0.042,,,
MFM,2011-11-1,2011-11-30,2011-11-14,0.042,0.042,,,
MFM,2011-10-3,2011-10-31,2011-10-11,0.042,0.042,,,
MFM,2011-9-1,2011-9-30,2011-9-12,0.042,0.042,,,
MFM,2011-8-1,2011-8-31,2011-8-9,0.042,0.042,,,
MFM,2011-7-1,2011-7-29,2011-7-12,0.042,0.042,,,
MFM,2011-6-1,2011-6-30,2011-6-8,0.042,0.042,,,
MFM,2011-5-2,2011-5-31,2011-5-10,0.042,0.042,,,
