Fund_name, category, sponsor,ticker
EV CA Muni Bond II,State Municipal CA,Eaton Vance,EIA
EV CA Municipal Bond,State Municipal CA,Eaton Vance,EVM
EV CA Municipal Income,State Municipal CA,Eaton Vance,CEV
EV Enhanced Equity Income,Covered Call,Eaton Vance,EOI
EV Enhanced Equity Income II,Covered Call,Eaton Vance,EOS
EV Floating Rate Income,Senior Loan Funds,Eaton Vance,EFT
EV Floating-Rate Inc Plus Fund,Senior Loan Funds,Eaton Vance,EFF
EV High Inc 2021 Target Term,High Yield,Eaton Vance,EHT
EV Limited Duration Income,Limited Duration,Eaton Vance,EVV
EV MA Municipal Bond,State Municipal MA,Eaton Vance,MAB
EV MA Municipal Income,State Municipal MA,Eaton Vance,MMV
EV MI Municipal Bond,State Municipal MI,Eaton Vance,MIW
EV MI Municipal Income,State Municipal MI,Eaton Vance,EMI
EV Muni Income 2028 Term Trust,National Municipal,Eaton Vance,ETX
EV Municipal Bond,National Municipal,Eaton Vance,EIM
EV Municipal Bond II,National Municipal,Eaton Vance,EIV
EV Municipal Income,National Municipal,Eaton Vance,EVN
EV NJ Municipal Bond,State Municipal NJ,Eaton Vance,EMJ
EV NJ Municipal Income,State Municipal NJ,Eaton Vance,EVJ
EV NY Muni Bond II,State Municipal NY,Eaton Vance,NYH
EV NY Municipal Bond,State Municipal NY,Eaton Vance,ENX
EV NY Municipal Income,State Municipal NY,Eaton Vance,EVY
EV National Muni Opps Trust,National Municipal,Eaton Vance,EOT
EV OH Municipal Bond,State Municipal OH,Eaton Vance,EIO
EV OH Municipal Income,State Municipal OH,Eaton Vance,EVO
EV PA Municipal Bond,State Municipal PA,Eaton Vance,EIP
EV PA Municipal Income,State Municipal PA,Eaton Vance,EVP
EV Risk-Mgd Divers Equity Inc,Covered Call,Eaton Vance,ETJ
EV Senior Floating Rate,Senior Loan Funds,Eaton Vance,EFR
EV Senior Income Trust,Senior Loan Funds,Eaton Vance,EVF
EV Short Duration Diversified,Limited Duration,Eaton Vance,EVG
EV Tax Adv Global Div Opps,Equity Tax-Advantaged,Eaton Vance,ETO
EV Tax Adv Global Dividend Inc,Equity Tax-Advantaged,Eaton Vance,ETG
EV Tax Advantaged Dividend Inc,Equity Tax-Advantaged,Eaton Vance,EVT
EV Tax-Advantaged Bond&Option,Government,Eaton Vance,EXD
EV Tax-Managed Buy-Write Inc,Covered Call,Eaton Vance,ETB
EV Tax-Managed Buy-Write Opps,Covered Call,Eaton Vance,ETV
EV Tax-Managed Div Equity Inc,Covered Call,Eaton Vance,ETY
EV Tax-Managed Glb B-W Opps,Covered Call,Eaton Vance,ETW
EV Tax-Managed Global Fund,Covered Call,Eaton Vance,EXG
Diversified Real Asset Income,Real Estate (Global),Nuveen Fund Advisors,DRA
Nuveen AMT-Free Muni Credit In,National Municipal,Nuveen Fund Advisors,NVG
Nuveen AMT-Free Muni Value,National Municipal,Nuveen Fund Advisors,NUW
Nuveen AMT-Free Qlty Muni Inc,National Municipal,Nuveen Fund Advisors,NEA
Nuveen AZ Quality Muni Income,State Municipal AZ,Nuveen Fund Advisors,NAZ
Nuveen All Cap Energy MLP Opps,MLP,Nuveen Fund Advisors,JMLP
Nuveen Build America Bond,Taxable Municipal Leveraged Non-Insured,Nuveen Fund Advisors,NBB
Nuveen Build America Bond Opp,Taxable Municipal Leveraged Non-Insured,Nuveen Fund Advisors,NBD
Nuveen CA AMTFree Qlty Muni In,State Municipal CA,Nuveen Fund Advisors,NKX
Nuveen CA Muni Value,State Municipal CA,Nuveen Fund Advisors,NCA
Nuveen CA Municipal Value 2,State Municipal CA,Nuveen Fund Advisors,NCB
Nuveen CA Quality Muni Inc,State Municipal CA,Nuveen Fund Advisors,NAC
Nuveen CA Select Tax-Free,State Municipal CA,Nuveen Fund Advisors,NXC
Nuveen CT Quality Muni Income,State Municipal CT,Nuveen Fund Advisors,NTC
Nuveen Core Equity Alpha,US General Equity,Nuveen Fund Advisors,JCE
Nuveen Credit Strat. Income,Senior Loan Funds,Nuveen Fund Advisors,JQC
Nuveen Diversified Div & Inc,Global Hybrid (Growth & Income),Nuveen Fund Advisors,JDD
Nuveen Dow 30 Dynamic Overwrit,Covered Call,Nuveen Fund Advisors,DIAX
Nuveen Energy MLP Total Return,MLP,Nuveen Fund Advisors,JMF
Nuveen Enhanced Muni Value,National Municipal,Nuveen Fund Advisors,NEV
Nuveen Flexible Investment Inc,Global Income,Nuveen Fund Advisors,JPW
Nuveen Floating Rate Inc Opps,Senior Loan Funds,Nuveen Fund Advisors,JRO
Nuveen Floating Rate Income,Senior Loan Funds,Nuveen Fund Advisors,JFR
Nuveen GA Quality Muni Income,State Municipal GA,Nuveen Fund Advisors,NKG
Nuveen Global High Income,Global Income,Nuveen Fund Advisors,JGH
Nuveen High Inc Nov 2021 targe,High Yield,Nuveen Fund Advisors,JHB
Nuveen High Income 2020 Target,High Yield,Nuveen Fund Advisors,JHY
Nuveen High Income Dec 2018 Ta,High Yield,Nuveen Fund Advisors,JHA
