Ticker,Date,Share Price,Net Asset Value,Premium / Discount
NNY,2010-2-1,9.44,9.74,-3.08%
NNY,2010-2-2,9.47,9.75,-2.87%
NNY,2010-2-3,9.53,9.75,-2.26%
NNY,2010-2-4,9.51,9.78,-2.76%
NNY,2010-2-5,9.55,9.79,-2.45%
NNY,2010-2-8,9.53,9.79,-2.66%
NNY,2010-2-9,9.48,9.78,-3.07%
NNY,2010-2-10,9.47,9.74,-2.77%
NNY,2010-2-11,9.46,9.75,-2.97%
NNY,2010-2-12,9.48,9.75,-2.77%
NNY,2010-2-16,9.49,9.76,-2.77%
NNY,2010-2-17,9.46,9.76,-3.07%
NNY,2010-2-18,9.47,9.75,-2.87%
NNY,2010-2-19,9.44,9.76,-3.28%
NNY,2010-2-22,9.61,9.76,-1.54%
NNY,2010-2-23,9.56,9.77,-2.15%
NNY,2010-2-24,9.61,9.77,-1.64%
NNY,2010-2-25,9.55,9.78,-2.35%
NNY,2010-2-26,9.55,9.79,-2.45%
NNY,2010-3-1,9.6,9.79,-1.94%
NNY,2010-3-2,9.65,9.79,-1.43%
NNY,2010-3-3,9.63,9.79,-1.63%
NNY,2010-3-4,9.65,9.8,-1.53%
NNY,2010-3-5,9.66,9.81,-1.53%
NNY,2010-3-8,9.68,9.81,-1.33%
NNY,2010-3-9,9.63,9.81,-1.83%
NNY,2010-3-10,9.6,9.81,-2.14%
NNY,2010-3-11,9.72,9.78,-0.61%
NNY,2010-3-12,9.67,9.79,-1.23%
NNY,2010-3-15,9.69,9.79,-1.02%
NNY,2010-3-16,9.73,9.79,-0.61%
NNY,2010-3-17,9.71,9.79,-0.82%
NNY,2010-3-18,9.67,9.8,-1.33%
NNY,2010-3-19,9.67,9.8,-1.33%
NNY,2010-3-22,9.65,9.8,-1.53%
NNY,2010-3-23,9.7,9.79,-0.92%
NNY,2010-3-24,9.77,9.78,-0.1%
NNY,2010-3-25,9.7,9.76,-0.61%
NNY,2010-3-26,9.76,9.76,0%
NNY,2010-3-29,9.84,9.75,0.92%
NNY,2010-3-30,9.86,9.75,1.13%
NNY,2010-3-31,9.69,9.75,-0.62%
NNY,2010-4-1,9.71,9.75,-0.41%
NNY,2010-4-5,9.68,9.75,-0.72%
NNY,2010-4-6,9.65,9.75,-1.03%
NNY,2010-4-7,9.58,9.74,-1.64%
NNY,2010-4-8,9.63,9.75,-1.23%
NNY,2010-4-9,9.64,9.76,-1.23%
