Ticker,Date,Share Price,Net Asset Value,Premium / Discount
PHK,2010-2-1,11.35,8.14,39.43%
PHK,2010-2-2,11.64,8.16,42.65%
PHK,2010-2-3,11.73,8.16,43.75%
PHK,2010-2-4,11.45,8.19,39.8%
PHK,2010-2-5,11.37,8.17,39.17%
PHK,2010-2-8,11.3,8.13,38.99%
PHK,2010-2-9,11.32,7.99,41.68%
PHK,2010-2-10,11.25,7.94,41.69%
PHK,2010-2-11,11.3,7.92,42.68%
PHK,2010-2-12,11.34,7.95,42.64%
PHK,2010-2-16,11.13,7.96,39.82%
PHK,2010-2-17,11,7.97,38.02%
PHK,2010-2-18,11,7.96,38.19%
PHK,2010-2-19,11.02,8.01,37.58%
PHK,2010-2-22,10.97,8.04,36.44%
PHK,2010-2-23,11.15,8.09,37.82%
PHK,2010-2-24,11.23,8.1,38.64%
PHK,2010-2-25,11.13,8.14,36.73%
PHK,2010-2-26,11.12,8.13,36.78%
PHK,2010-3-1,11.34,8.21,38.12%
PHK,2010-3-2,11.56,8.26,39.95%
PHK,2010-3-3,11.58,8.28,39.86%
PHK,2010-3-4,11.63,8.31,39.95%
PHK,2010-3-5,11.72,8.31,41.03%
PHK,2010-3-8,11.72,8.34,40.53%
PHK,2010-3-9,11.42,8.27,38.09%
PHK,2010-3-10,11.51,8.29,38.84%
PHK,2010-3-11,11.51,8.33,38.18%
PHK,2010-3-12,11.62,8.36,39%
PHK,2010-3-15,11.58,8.38,38.19%
PHK,2010-3-16,11.65,8.37,39.19%
PHK,2010-3-17,11.75,8.41,39.71%
PHK,2010-3-18,11.8,8.49,38.99%
PHK,2010-3-19,11.76,8.5,38.35%
PHK,2010-3-22,11.74,8.52,37.79%
PHK,2010-3-23,11.8,8.51,38.66%
PHK,2010-3-24,11.88,8.52,39.44%
PHK,2010-3-25,11.94,8.53,39.98%
PHK,2010-3-26,11.92,8.61,38.44%
PHK,2010-3-29,12.1,8.65,39.88%
PHK,2010-3-30,12.16,8.67,40.25%
PHK,2010-3-31,12.24,8.73,40.21%
PHK,2010-4-1,12.29,8.74,40.62%
PHK,2010-4-5,12.48,8.7,43.45%
PHK,2010-4-6,12.55,8.73,43.76%
PHK,2010-4-7,12.61,8.77,43.79%
PHK,2010-4-8,12.46,8.63,44.38%
PHK,2010-4-9,12.62,8.66,45.73%
PHK,2010-4-12,12.75,8.68,46.89%
PHK,2010-4-13,12.74,8.72,46.1%
PHK,2010-4-14,12.71,8.74,45.42%
PHK,2010-4-15,12.51,8.77,42.65%
PHK,2010-4-16,12.22,8.83,38.39%
PHK,2010-4-19,12.02,8.83,36.13%
PHK,2010-4-20,12.38,8.82,40.36%
PHK,2010-4-21,12.4,8.85,40.11%
PHK,2010-4-22,12.36,8.83,39.98%
PHK,2010-4-23,12.43,8.81,41.09%
PHK,2010-4-26,12.34,8.82,39.91%
PHK,2010-4-27,12.28,8.83,39.07%
PHK,2010-4-28,12.35,8.77,40.82%
PHK,2010-4-29,12.4,8.83,40.43%
PHK,2010-4-30,12.48,8.85,41.02%
PHK,2010-5-3,12.7,8.83,43.83%
PHK,2010-5-4,12.39,8.84,40.16%
PHK,2010-5-5,12.2,8.73,39.75%
PHK,2010-5-6,11.5,8.68,32.49%
PHK,2010-5-7,11.64,8.43,38.08%
PHK,2010-5-10,12.34,8.62,43.16%
PHK,2010-5-11,12.1,8.46,43.03%
PHK,2010-5-12,12.16,8.5,43.06%
PHK,2010-5-13,12.06,8.55,41.05%
PHK,2010-5-14,11.92,8.51,40.07%
PHK,2010-5-17,11.71,8.48,38.09%
PHK,2010-5-18,11.56,8.46,36.64%
PHK,2010-5-19,11.19,8.38,33.53%
PHK,2010-5-20,10.55,8.28,27.42%
PHK,2010-5-21,11.25,8.12,38.55%
PHK,2010-5-24,11.08,8.11,36.62%
PHK,2010-5-25,10.81,7.95,35.97%
PHK,2010-5-26,10.81,8.02,34.79%
PHK,2010-5-27,11.15,8.11,37.48%
PHK,2010-5-28,11.23,8.17,37.45%
PHK,2010-6-1,11.23,8.16,37.62%
PHK,2010-6-2,11.31,8.14,38.94%
PHK,2010-6-3,11.44,8.22,39.17%
PHK,2010-6-4,11.35,8.22,38.08%
PHK,2010-6-7,11.36,8.22,38.2%
PHK,2010-6-8,11.45,8.14,40.66%
PHK,2010-6-9,11.27,8.02,40.52%
PHK,2010-6-10,11.3,7.99,41.43%
PHK,2010-6-11,11.36,8.01,41.82%
PHK,2010-6-14,11.56,8.01,44.32%
PHK,2010-6-15,11.64,8.05,44.6%
PHK,2010-6-16,11.87,8.1,46.54%
PHK,2010-6-17,11.89,8.15,45.89%
PHK,2010-6-18,11.98,8.19,46.28%
PHK,2010-6-21,12.05,8.26,45.88%
PHK,2010-6-22,12.09,8.26,46.37%
PHK,2010-6-23,12.05,8.26,45.88%
PHK,2010-6-24,12,8.23,45.81%
PHK,2010-6-25,12.06,8.25,46.18%
PHK,2010-6-28,12.21,8.28,47.46%
PHK,2010-6-29,11.9,8.25,44.24%
PHK,2010-6-30,12.02,8.26,45.52%
PHK,2010-7-1,12.05,8.23,46.42%
PHK,2010-7-2,12.19,8.25,47.76%
PHK,2010-7-6,12.28,8.27,48.49%
PHK,2010-7-7,12.35,8.3,48.8%
PHK,2010-7-8,12.3,8.21,49.82%
PHK,2010-7-9,12.24,8.23,48.72%
PHK,2010-7-12,12.19,8.26,47.58%
PHK,2010-7-13,12.03,8.3,44.94%
PHK,2010-7-14,12.08,8.35,44.67%
PHK,2010-7-15,12.1,8.38,44.39%
PHK,2010-7-16,12.11,8.39,44.34%
PHK,2010-7-19,12.26,8.38,46.3%
PHK,2010-7-20,12.39,8.38,47.85%
PHK,2010-7-21,12.38,8.42,47.03%
PHK,2010-7-22,12.44,8.44,47.39%
PHK,2010-7-23,12.55,8.46,48.35%
PHK,2010-7-26,12.67,8.49,49.23%
PHK,2010-7-27,12.74,8.57,48.66%
PHK,2010-7-28,12.79,8.6,48.72%
PHK,2010-7-29,12.8,8.64,48.15%
PHK,2010-7-30,12.81,8.66,47.92%
PHK,2010-8-2,12.95,8.68,49.19%
PHK,2010-8-3,13.03,8.71,49.6%
PHK,2010-8-4,13.26,8.71,52.24%
PHK,2010-8-5,13.34,8.72,52.98%
PHK,2010-8-6,13.47,8.75,53.94%
PHK,2010-8-9,13.59,8.78,54.78%
PHK,2010-8-10,13.42,8.71,54.08%
PHK,2010-8-11,12.96,8.67,49.48%
PHK,2010-8-12,13.22,8.58,54.08%
PHK,2010-8-13,13.25,8.61,53.89%
PHK,2010-8-16,13.33,8.65,54.1%
PHK,2010-8-17,13.45,8.66,55.31%
PHK,2010-8-18,13.39,8.67,54.44%
PHK,2010-8-19,13.15,8.69,51.32%
PHK,2010-8-20,13.04,8.67,50.4%
PHK,2010-8-23,12.92,8.67,49.02%
PHK,2010-8-24,12.83,8.66,48.15%
PHK,2010-8-25,12.54,8.6,45.81%
PHK,2010-8-26,12.17,8.62,41.18%
PHK,2010-8-27,12.45,8.6,44.77%
PHK,2010-8-30,12.34,8.63,42.99%
PHK,2010-8-31,12.45,8.61,44.6%
PHK,2010-9-1,12.78,8.61,48.43%
PHK,2010-9-2,12.82,8.63,48.55%
PHK,2010-9-3,13.24,8.65,53.06%
PHK,2010-9-7,13.06,8.68,50.46%
PHK,2010-9-8,13.17,8.68,51.73%
PHK,2010-9-9,13.09,8.55,53.1%
PHK,2010-9-10,12.99,8.55,51.93%
PHK,2010-9-13,12.97,8.64,50.12%
PHK,2010-9-14,12.89,8.72,47.82%
PHK,2010-9-15,13.05,8.76,48.97%
PHK,2010-9-16,13.03,8.77,48.57%
PHK,2010-9-17,13.02,8.8,47.95%
PHK,2010-9-20,13.1,8.83,48.36%
PHK,2010-9-21,13.14,8.88,47.97%
PHK,2010-9-22,13.12,8.88,47.75%
PHK,2010-9-23,13.11,8.88,47.64%
PHK,2010-9-24,12.98,8.88,46.17%
PHK,2010-9-27,12.97,8.95,44.92%
PHK,2010-9-28,13.06,8.98,45.43%
PHK,2010-9-29,13.08,9.02,45.01%
PHK,2010-9-30,13.02,9.11,42.92%
PHK,2010-10-1,13.04,9.15,42.51%
PHK,2010-10-4,13.02,9.18,41.83%
PHK,2010-10-5,13.05,9.24,41.23%
PHK,2010-10-6,13,9.17,41.77%
PHK,2010-10-7,13,9.19,41.46%
PHK,2010-10-8,12.99,9.22,40.89%
PHK,2010-10-11,13,9.26,40.39%
PHK,2010-10-12,13.01,9.25,40.65%
PHK,2010-10-13,12.98,9.3,39.57%
PHK,2010-10-14,12.95,9.3,39.25%
PHK,2010-10-15,12.99,9.26,40.28%
PHK,2010-10-18,13.03,9.26,40.71%
PHK,2010-10-19,12.92,9.28,39.22%
PHK,2010-10-20,13.01,9.29,40.04%
PHK,2010-10-21,13.1,9.28,41.16%
PHK,2010-10-22,13.09,9.31,40.6%
PHK,2010-10-25,13.13,9.34,40.58%
